,link,title,premise,post_time,highlight,information,detail
10,th.jobsdb.com/th/jobs/in-jatuchak/machine-learning-jobs/1?SalaryF=30000&SalaryT=70000&SalaryType=1&createdAt=30d,Data Scientist & AI Lead / Data Scientist, & VISAI AI Company Limited & Jatuchak,1d ago, & Strong data science knowledge and experience & Data problem formulation & Coaching and teaching skills,"Career LevelSeniorQualificationDegreeYears of Experience1 yearJob TypeFull Time, PermanentCompany Websitehttps://visai.ai/Job FunctionsInformation Technology (IT), IT Project Management / Team Lead, Programming / Software Development, Data Scientist &&& IndustryInformation TechnologyBenefits & OthersDental insurance, Education allowance, Medical insurance, Work from home, Five-day work week, Flexible working hours","Data Scientist & AI Lead

Responsible for leading data and AI team to develop high quality and high-performance AI/ML models for AI cloud platform and AI solutions

Responsibilities:
Oversee a team of data scientists and Al engineers.
Teach, lead, and counsel colleagues on new data science techniques or solutions.
Responsible for the conception, planning, and prioritizing of data projects.
Interpret and analyze data problems and guarantee data quality and integrity.
Collaborate with software engineers to build machine learning pipelines and test the performance.
Participate in technical and executive training programs as a lecturer or an adviser.
Qualifications:
At least 5 years of experience in data science in industrial or business settings.
Strong data science knowledge and experienceGood knowledge of Data problem formulation
Data collection
Data manipulation
Data visualization
Data modelling
Data evaluation
Data pipeline
Model deployment
Good knowledge of Python and SQL.
Good understanding of best practices in data science and software engineering.
Experience in leading a data science team, career coaching, goal setting, and performance review.
Experience in understanding business needs and translating to a data-science problem.
Experience in machine learning pipeline development
Strong leadership and communication skills, both Thai and English.
Data Scientist

Responsibilities:
Collaborate with clients to identify gaps and problems, and propose feasible solutions based on business and technical requirements
Recommend actionable insights from data and methodology in various business industries
Preprocess data, transform data, create machine learning models, evaluate performance, and communicate outcome with clients
Coordinate with teams of data scientists to complete projects
Lead trainings and consultancy sessions on data science and AI
Qualifications:
At least 1 year of experience in data science in industrial or business settings
Strong knowledge of statistics and machine learning models, their real-world values and drawbacks
Strong coding knowledge and experience with Python
Experience with visualizing and presenting data using Power BI and others
Experience working with large datasets, relational and non-relational databases
Excellent problem-solving skills, including analyzing issue, identifying root causes, and recommending solutions quickly
Ability to communicate complex ideas effectively with teams and business clients in Thai and a good command of English
Eager to try new ideas and technologies

Benefits :
เงินเดือนสูง ที่แข่งขันกับธุรกิจอื่นได้สบาย
ทักษะในเทรนธุรกิจใหม่ในอนาคต ในเรื่องของปัญญาประดิษฐ์ (Artificial Intelligence)
Startup Culture พื้นที่ของคนรุ่นใหม่ แหล่งรวมคนที่โครตเก่ง ที่ใฝ่ฝันอยากสร้างสิ่งที่มีคุณค่าให้กับประเทศนี้ (อายุพนักงานเฉลี่ย 27 ปี)
Work from home 4 วัน และสลับเข้า Office เพียง 1 วันต่อสัปดาห์ ไม่ต้องตอกบัตร
สามารถไปทำงานที่ต่างจังหวัดนั่งข้างชายหาด หรือนั่งทำงานท่ามกลางธรรมชาติในป่าเขา และเปิดกล้องประชุมได้ โดยไม่ต้องบอกว่าไม่สบาย
ลาพักร้อนเริ่มต้น 10 วันต่อปี
มีวันหยุดประเพณีเริ่มต้นที่ 20 วันต่อปี
มีประกันสุขภาพให้พนักงาน และแน่นอนว่าประกันครอบคลุมในเรื่องกายภาพ และแพทย์ทางเลือกด้วย
เวลาทำงานปกติ 9:00 - 18:00 น. แต่จริงๆแล้วสามารถยืดหยุ่นเวลาทำงานได้ และจัดการชีวิตตัวเองได้ตามสะดวก ขอแค่ให้งานเสร็จอย่างมีคุณภาพก็พอ
สนับสนุนการเรียน 5,000 บาทต่อปี อยากเรียนออนไลน์ หรือเรียนในสิ่งที่ชอบก็เรียนได้ตามสะดวก
ไม่เคร่งเรื่องแต่งกาย อยากใส่ชุดอะไรมาทำงานก็แล้วแต่ท่านได้เลย
ที่ทำงานใกล้ MRT พหลโยธิน อยู่ลาดพร้าว ซอย 4 ตึกสำนักงานส่งเสริมเศรษฐกิจดิจิทัล (DEPA) เดินทางสะดวก
อุปกรณ์การทำงานมีให้แน่นอนไม่ว่าจะเป็น Macbook หรือ Notebook เราก็จัดให้ได้ และที่สำคัญบริษัทก็พร้อมสนับสนุนโปรแกรมในการทำงานอีกด้วยจ้า"
11,th.jobsdb.com/th/jobs/in-klongtoey/machine-learning-jobs/1?SalaryF=30000&SalaryT=70000&SalaryType=1&createdAt=30d,Data Scientist & Data Engineer, & JAC Recruitment Thailand & Klongtoey,1d ago," & SQL query & Data model for Power BI & Salary : 50,000 THB","Career LevelEntry LevelQualification(N/A)Years of ExperienceN/AJob TypeFull Time, PermanentCompany Websitehttp://www.jac-recruitment.co.thJob FunctionsInformation Technology (IT), Data Scientist &&& IndustryHuman Resources Management/Consultancy","Contract type: Permanent

Key Responsibilities:
Gathering data, both structured and unstructured
Locating omitted data
Putting data into formats that can be used.
Development of prediction models
Data processing, cleansing, and verification
Analyzing data to look for trends and patterns as well as finding solutions to particular problems
Evaluate data quality, delete, or clean data.
Producing knowledge and insights from data sets and spotting patterns and trends.
Creating reports for project teams and executives
Produce data visualizations
Qualifications:
SQL query
Programming in Python
Power search
DAX
Data model for Power BI
Model for machine learning
The data structures star and snowflake.
Interested candidate, please send your resume in English (Word format only) along with your recent photo and expected salary to us by Apply Now.

JAC Personnel Recruitment Ltd
10F Emporium Tower  622 Sukhumvit Soi 24 Klongton, Klongtoey, Bangkok 10110
Contact : K. Pitcha
Office Number: 02-261-1270
Time: 9.00 am - 6.00 pm
Website : https://www.jac-recruitment.co.th"
12,th.jobsdb.com/th/jobs/in-ladkrabang/machine-learning-jobs/1?SalaryF=30000&SalaryT=70000&SalaryType=1&createdAt=30d,Data Scientist - True Leasing @Lardkrabang, & True Corporation Public Company Limited & Ladkrabang,2d ago, & IT & Data & Agile,"Career LevelMiddleQualificationDegreeYears of Experience5 yearsJob TypeFull Time, PermanentCompany Websitehttp://www.truecorp.co.thJob FunctionsInformation Technology (IT), Data Scientist &&& IndustryTelecommunicationBenefits & OthersFree shuttle bus, Life insurance, Performance bonus, Five-day work week, Flexible working hours","Job Responsibilities
• Collaborates with IT to prepare and manipulate structured and unstructured data for data discovery and mining from multiple, disparate, resources.
• Builds high-end analytic models, utilizing supervised and unsupervised learning models, to support decision makers with data driven insights that address immediate business problems and objectives.
• Creates informative visualizations that intuitively display large amounts of data and/or complex relationships.
• Translates data analytics into coherent reports and presentations for internal and external customer with varying degrees of technical knowledge

Skills and Qualifications
• 2years+ related work experience in application development and/or systems analysis role.
• Passion for analytical problem solving.
• Pro-active problem solver who continually asks why to understand root causes.
• Experience with R or Python, SQL.
• Knowledge of advanced statistical techniques and concepts (regression, properties of distributions, statistical tests and proper usage, etc.) and experience with applications.
• Knowledge of machine learning techniques and approaches (feature engineering, classification, clustering, decision trees, etc.).
• Knowledge of time series analysis and forecasting a plus.
• Quick learner through formal and self-guided education.
• Ability to work in teams or individually.
• Excellent written and verbal communication skills for coordinating across teams"
13,th.jobsdb.com/th/jobs/in-sathorn/machine-learning-jobs/1?SalaryF=30000&SalaryT=70000&SalaryType=1&createdAt=30d,Data Engineer," & Bangkok Industrial Gas Co., Ltd. & Sathorn",1d ago," & Data Architecture/ Data Engineer/ Data Science & ETL, SQL, Python, AWS Cloud, Azure, R Code, C# & Scala, Spark, Apache Airflow","Job TypeFull Time, PermanentCompany Websitehttp://www.bigth.comJob FunctionsInformation Technology (IT), DBA &&& IndustryChemical/Plastic/Paper/PetrochemicalBenefits & OthersDental insurance, Life insurance, Medical insurance, Performance bonus, Five-day work week, Flexible working hours","Responsibilities:
Responsible for data architecture.
Design, constructs, install, test and maintain highly scalable data management systems.
Improve data foundation procedures, guidelines and standards and data availability by acting as a liaison between business analysts, apps development team and Digital Transformation team.
Develops data and information infrastructure by creating and modifying solutions to extract information from company databases.
Produces data through Python/SQL and other programming tools and develops reports/ dashboards.
Build data pipelines data processing tools and technologies in open source and proprietary products.
Identify incomplete data, improve quality of data, and integrate data from several data sources.
Contribute towards designing data models, ETL mappings and associated objects of analytical solutions.
Design data schema and operate internal AWS data warehouses, SQL and time series database systems
Requirements:
Bachelor’s degree in in Computer Science, Engineering, Statistics, Mathematics or equivalent.
At least 5 years working experience in with data analysis and preparation, including experience in dealing with very large data sets and unstructured data.
Deep understanding of data warehousing concepts, relational star-schema database designs and big data platforms and associated tools.
Good knowledge of SQL and relational database models.
Good understanding of data modeling
Work in agile environment.
Experience with design and implement data pipeline
Required skills/programming tools
Strong SQL language and knowledge of SQL server databases
Strong Python language
Power BI platform / Grafana
Java, R Code, C#, Scala, and Spark is plus
Apache Airflow is plus
API programming
Bonus skills: InfluxDB / MariaDB
Passion in cloud computing (Azure / AWS cloud) is a must as using XaaS to simplify IT deployments.
With a strong understanding of the Big Data, Machine Learning and Artificial Intelligence.
Able to work in teams, contribute ideas and share knowledge proactively.
Self-motivated and unafraid to dive into detailed technical issues.
Business-level English (written and spoken).
Open to adopt new concepts, ideas and able to grasp new technology easily."
14,th.jobsdb.com/th/jobs/in-pathumwan/machine-learning-jobs/1?SalaryF=30000&SalaryT=70000&SalaryType=1&createdAt=30d,Data Scientist, & LINE Company (Thailand) Limited & Pathumwan,4d ago, & 5+ years of machine learning & data scientist exp. & Experience with the Hadoop ecosystem & Strong SQL skills,"Career LevelSeniorQualificationDegreeYears of Experience5 yearsJob TypeFull Time, PermanentJob FunctionsInformation Technology (IT), Data Scientist &&& IndustryInformation TechnologyBenefits & OthersDental insurance, Gratuity, Life insurance, Medical insurance, Performance bonus, Work from home, Five-day work week, Flexible working hours","Responsibilities
Boost LINE service quality by leveraging machine learning techniques and advanced analytics (e.g., regression, classification, clustering, time series, gradient boosting tree)
Collect logs, extract features, and build machine learning models according to business requirements
Engineer features for machine learning
Prototype machine learning algorithms for LINE TH services
Qualifications
Master’s or doctorate’s degree or equivalent experience in Computer Science or related quantitative fields
5+ years of experience in machine learning, recommendation systems, data mining and/or artificial intelligence
Experience with solving real-world problems using machine learning techniques in a Linux environment
Strong SQL skills
Experience with the Hadoop ecosystem (Hive, MapReduce and Spark)
Knowledge of core machine learning concepts
Specialty in at least one area of machine learning - NLP, recommender systems, deep learning, or ads targeting
Great communication skills, organizational skills, and ability to perform multiple tasks as a team player
Preferred Qualifications
Experience with A/B testing environment
Experience with deep learning
Experience with filesystems, server architectures, and distributed systems
Experience with optimization or game theory
Full-stack data scientist: strong statistics background, experience in algorithm programming, experimentation, data visualization, machine learning, optimization and big data 
Location
LINE Head Office, Gaysorn Tower, Bangkok"
15,th.jobsdb.com/th/jobs/in-sampantawong/machine-learning-jobs/1?SalaryF=30000&SalaryT=70000&SalaryType=1&createdAt=30d,Data Engineer, & Tong Hua Holding Public Company Limited & Sampantawong,1d ago, & Quick Learner & Strong problem-solving and analytical skills & Build innovative data solutions,"Career LevelMiddleQualificationDegreeYears of Experience2 yearsJob TypeFull Time, PermanentCompany Websitehttps://tonghuagroup.comJob FunctionsInformation Technology (IT), DBA, MIS, Data Scientist &&& IndustryInformation TechnologyBenefits & OthersEducation allowance, Performance bonus, Five-day work week, Flexible working hours","What We Are Looking For
We are looking for a trustworthy, curious, sharp, and proactive full-time Data Engineer to join our team. You'll have the opportunity to design innovative data solutions and solve challenging problems.

What You'll Do
Design and build data pipelines that clean, transform and aggregate various types of data (e.g., structured data, unstructured data, images) from a variety of sources (e.g., databases, local file systems, REST API, GraphQL API)
Design and build analytical tools that utilize the data pipeline to provide actionable insights to improve customer acquisition, operational efficiency, and other key business performance metrics
Analyze data, interpret trends and patterns, report on results and provide actionable insights
Explore ways to enhance data quality and reliability
Work with stakeholders including the Executive, Product Owner, Software Engineers, and UI/UX teams to assist with data-related technical issues and support their data infrastructure needs
Create a dashboard for monitoring and visualization
Become a data expert in your business domain and help make the business team more data-driven
Basic Qualifications
Bachelor's degree or above in computer science, data engineering, data science, or any related field
2+ years of experience in a Data Engineer or related role
Strong knowledge of relational databases and NoSQL databases (e.g. PostgreSQL, MySQL, MongoDB)
Proficient in either Python, JavaScript / TypeScript (NodeJS) or Rust
Working knowledge of data lake, data warehouse, and ETL/ELT
Experience in database design, data integration, data pipeline development, and business intelligence applications
Experience performing analysis on internal and external data to answer specific business questions and identify opportunities for improvement
Working knowledge with visualization tools (e.g., Grafana)
Strong problem-solving and analytical skills
Comfortable and confident when speaking with internal clients as a technical expert and translating technical concepts into simple terminology for internal clients of various levels
Ability to learn and adapt to new tools and technologies
Ability to lead and complete projects independently, as well as work in a team
Ability to adjust to shifting priorities in a fast-paced, dynamic environment
Nice-to-haves
Strong knowledge of DevOps practices and tools (e.g., Git, CI/CD pipelines)
Experience with Web Scraping and RPA
Experience working with Time-Series Database (e.g., Prometheus) and Graph Database (e.g., Neo4J)
Interests in cutting-edge technology (e.g., Blockchain, Edge Computing, Confidential Computing)

Benefits
Education allowance
Five-day work week
Flexible Working Hours & Casual Dress Code
Gratuity
Overtime pay
Performance bonus
Company Retreats
Links
Tong Hua Group Website
Tong Hua Labs Website
Tong Hua Labs Facebook"
16,th.jobsdb.com/th/jobs/in-bangrak/machine-learning-jobs/1?SalaryF=30000&SalaryT=70000&SalaryType=1&createdAt=30d,Data Engineer, & Accenture Thailand & Bangrak,1d ago," & SQL, Databricks, Data Warehouse, Apache Spark & Data integration, transformation, migration & Competitive Salary and Benefits","Career LevelSeniorQualificationDegreeYears of Experience3 yearsJob TypeFull Time, PermanentCompany Websitehttp://www.accenture.comJob FunctionsInformation Technology (IT), Others &&& IndustryInformation TechnologyBenefits & OthersDental insurance, Life insurance, Medical insurance, Overtime pay, Performance bonus, Five-day work week","What you get to do in this role:
Gathering requirements and specifications from users / business stake holders.
Need to have skill and experience to transform source data and target data by ETL tool (Extract - Transform - Load) as well as transform target data to source data.
Perform feasibility, impact analysis and suitable solutions based on the use cases.
Ensuring data management and governance to maintain the data integrity.
Develop data mappings to extract the data from XML/Database and loading to the source stating database tables.
Job requirements:
Degree in Computer Science/IT or equivalent.
Fresh graduates are welcome to apply
Professional experience/knowledge of SQL, Databricks, Data Warehouse, Data Lake, Azure Cloud (Optional)
Relevant working experience in ETL.
Preferred knowledge and experience for Oracle Data Integration Cloud or Business object or IBM Data Stage.
Knowledge in the Data Warehousing Domain.
Good exposure to different Data Modelling techniques.
Familiar with Waterfall & Agile methodologies.
Understand different interface files.
Strong written and communication skills."
17,th.jobsdb.com/th/jobs/in-yannawa/machine-learning-jobs/1?SalaryF=30000&SalaryT=70000&SalaryType=1&createdAt=30d,AI / Machine Learning Engineer (Hybrid working), & Krungsri Bank (Bank of Ayudhya PCL.) & Yannawa,5d ago," & Machine Learning system & Natural Language Processing & Python, API, Scikit-learn, Tensorflow or PyTorch","Career LevelMiddleQualificationDegreeYears of Experience3 yearsJob TypeFull TimeCompany Websitehttp://www.krungsri.comJob FunctionsInformation Technology (IT), Programming / Software Development, Others &&& IndustryFinancial ServicesBenefits & OthersDental insurance, Education allowance, Free shuttle bus, Gratuity, Life insurance, Medical insurance, Performance bonus, Work from home, Five-day work week","To develop AI chatbot Natural Language Understanding model for BAY group.
Implement NLU service to support internal development chatbot framework.
Prepare training data to build Natural Language Understanding(NLU) model.
Maintain, update and enhance NLU performance for each conversation flow.
Enhance existing Natural Language Understanding module by applying modern machine learning technique.
Qualification:
Bachelor’s Degree in Major Business Administration, Engineering or related field.
At least 3 years’ experience in Machine Learning system development with more than 2 years’ experience in Natural Language Processing.
Strong knowledge and experience with Python programming language.
Experience with Thai Natural Language Processing(NLP)
Strong knowledge of classical machine learning technique and Deep Learning for Natural Language Understanding(NLU) implementation e.g. text classification and entity recognition.
Experience with machine learning library e.g. scikit-learn, Tensorflow or PyTorch.
Strong knowledge on APIs technology and integration (RESTful, etc.)
Experience with chatbot development framework such as Google Dialogflow, Wit.ai, IBM Watson or Rasa is a plus.
Familiar with PyThaiNLP library is a plus.
Experience with AWS cloud computing platform is a plus."
18,th.jobsdb.com/th/jobs/in-phayathai/machine-learning-jobs/1?SalaryF=30000&SalaryT=70000&SalaryType=1&createdAt=30d,Business Data Science, & Pruksa Real Estate Public Company Limited & Phayathai,1d ago, & At least 1 years working experience & exp. in Business Intelligence or Business Analyst & Computer Science,"Career LevelEntry LevelQualificationDegreeYears of Experience3 yearsJob TypeFull Time, PermanentCompany Websitehttp://www.pruksa.comJob FunctionsInformation Technology (IT), DBA, MIS, Data Scientist &&& IndustryProperty DevelopmentBenefits & OthersLife insurance, Medical insurance, Performance bonus, Work from home, Five-day work week, Flexible working hours","Responsibilities
Team explore Big Data information in digital domain from multi source data of company
Design and implement data models to explain in solving the specified problems using various techniques such as data mining, statistical modelling, and machine learning
Provide insightful visualization and explanation of the results as well as recommend the next course of actions to decision makers and other functional groups
Experience in team business intelligence
Know technical evaluate data model. Assist to explain how to use model data to other team provide and recommendations for improvement
Part of team Implement solutions
Work closely with business users in identifying business problems and use cases which can be resolved by data science techniques
Qualifications
Bachelor or Master Degree, Statistic, Computer Science, Computer Engineering field
1+ years’ experience in Business Intelligence or Business Analyst
Strategic thinking and analytical skills
has skill presentation and communication skills
Scripting experience in (R, JavaScript or Python preferred)
Strong SQL
experience with data in various forms (unstructured data, PySpark,zeppelin)
Location  :  Head Office (Pearl Bangkok)"
19,th.jobsdb.com/th/jobs/in-bangrak/machine-learning-jobs/1?SalaryF=30000&SalaryT=70000&SalaryType=1&createdAt=30d,Backend Python Developer," & DIGITAL ORGANIC CO., LTD & Bangrak",2d ago,,"Career LevelEntry LevelQualificationDegreeYears of Experience2 yearsJob TypeFull Time, ContractJob FunctionsInformation Technology (IT), Application Specialist - Software, Programming / Software Development &&& IndustryInformation TechnologyBenefits & OthersTransportation allowance, Travel allowance, Work from home, Five-day work week, Flexible working hours","Responsibilities
Understand ERP System (such as SAP, NAV,Odoo)
good practices of coding style with RESTful APIs and Python framework (such as Django, Flask, FastAPI)
Design and write structured, scalable, and secure code
Develop back-end components with high performance and reliability
Integrate user-facing elements into applications
Improve functionality of existing systems
Implement security and data protection solutions
Coordinate with internal teams to understand user’s requirements and feedbacks"
20,th.jobsdb.com/th/jobs/in-klongtoey/machine-learning-jobs/1?SalaryF=30000&SalaryT=70000&SalaryType=1&createdAt=30d,DATA SCIENTIST, & Vinarco Services (Thailand) Limited & Klongtoey,3d ago," & Data sources and data gathering techniques & SQL, Python, R, Matlab, PowerBI, Spotfire & Machine learning, cloud computing and big data","Career LevelMiddleQualificationDegreeYears of Experience3 yearsJob TypeFull TimeCompany Websitehttp://www.vinarco.comJob FunctionsInformation Technology (IT), DBA, MIS, Data Scientist &&& IndustryHuman Resources Management/ConsultancyBenefits & OthersEducation allowance, Life insurance, Medical insurance, Performance bonus, Travel allowance, Work from home, Five-day work week, Flexible working hours","Responsibilities
· Analyzing the effectiveness and accuracy of data sources and data gathering techniques; Defining criteria for monitoring the integrity of data science models;
· Interacting with initiative leaders and pertinent teams to translate business needs into requirements for data, analytics, and data science solutions;
· Advancing data modeling and experimentation;
· Executing quality control procedures for analytical tools and techniques;
· Utilizing deep data science capabilities (such as machine learning and data mining) to create specialized and novel solutions;
· Creating the best practices in analytics, such as models, standards, and tools;
· Collaborating with pertinent functions to monitor how analytics are affecting business; and
· Providing technical direction on data architecture, data models, and data management while collaborating with the IT department and project managers.
Qualifications
Bachelor's degree or equivalent experience in quantative field (Statistics, Mathematics, Computer Science, Engineering, etc.)
A suitable level of experience in a statistical and/or data science role;
Strong problem-solving skills with an emphasis on the development of data science products;
Experience using analytic tools and languages, such as Python, R, Matlab, PowerBI, Spotfire and SQL;
Eager to learn;
Experience working with large data sets and simulation/optimisation tools;
A good command of the English language;
Preferably experience and skills in project management; and
Preferably proficiency in one or more of the following data science areas: deep learning, reinforcement learning, machine learning, natural language processing, cloud computing and big data."
21,th.jobsdb.com/th/jobs/in-huaykwang/machine-learning-jobs/1?SalaryF=30000&SalaryT=70000&SalaryType=1&createdAt=30d,Quantitative Analyst/นักวิเคราะห์เชิงปริมาณ," & AIGEN CO., LTD. & Huaykwang",1d ago," & Min. Bachelor, 2-5 yrs. experience & Problem solver, strong prog. & analytical skill & Flex hrs., Health ins., Prov. Fund","Career LevelEntry LevelQualificationDegreeYears of Experience1 yearJob TypeFull TimeCompany Websitehttp://www.aigencorp.comJob FunctionsBanking / Finance, Analysis, Information Technology (IT), Data Scientist &&& IndustryInformation TechnologyBenefits & OthersDental insurance, Education allowance, Life insurance, Medical insurance, Performance bonus, Work from home, Five-day work week, Flexible working hours","We are a subsidiary of Muangthai Group Holding, with a mindset of a technology start-up. We are looking to innovate and transform various industries with the power of AI and machine learning with the mission to make AI accessible to all businesses. If you are self-motivated, passionate about how AI and technology can improve people’s lives, join us to be part of the growth story.
End-to-end development and maintenance of investment algorithms.
Take part in building back testing and simulation frameworks.
Work closely with quantitative researchers.
Investigate datasets for the use in investment algorithms.
Participate in agile development practices.
Qualification
College degree in Statistics, Physics or Computer Science.
Knowledge in software development using Python and Git
Proficient in Python modules such as Pandas, NumPy, Scikit-Learn etc.
Relational database experience.
Strong communication and analytical problem-solving skills.
Strong sense of attention to detail.
Pride in delivering high quality work and willingness to learn.
Exposure to machine learning is a plus.
Experience of working in the finance industry is a big plus.
Understanding or exposure to financial capital markets, various financial instruments (ETF, future, stocks etc.) and tools (Bloomberg, Reuters etc.) is a plus.
Why work with us?
Competitive salary
Online Course and Career Development Courses
Flexible working hours and work environment
Work from home
Annual Health Checkup
Health and life insurance plan
Dental Allowance
Provident fund
Company sponsored laptop
Company Outing
Company Town Hall
Board Games"
22,th.jobsdb.com/th/jobs/in-phayathai/machine-learning-jobs/1?SalaryF=30000&SalaryT=70000&SalaryType=1&createdAt=30d,Data Scientist (Forth Vending - Tao Bin), & Forth Vending Company Limited & Phayathai,4d ago, & Data Scientist & Data & Big Data,"Career LevelEntry LevelQualificationDegreeYears of Experience3 yearsJob TypeFull TimeCompany Websitehttp://www.forth.co.thJob FunctionsInformation Technology (IT), DBA &&& IndustryElectronics/Electrical EquipmentBenefits & OthersPerformance bonus, Five-day work week","TAO BIN has become a household name in Thailand with thousands of machines deployed throughout the country and hundreds-of-thousands of cups sold per day. Behind these machines is a powerful data platform (vendii) that automatically knows when to refill the machines, what to refill the machines with and provides operators with a suite of tools – monitoring, alerting, analytics, to manage operations at scale. TAO BIN’s growth has been stratospheric and, with no signs of slowing down, next year we are going international.  As such, we are looking for a talented data scientist.
Our team, originally from the acquisition of vendii, is a looking to operate upwards of 100,000 machines worldwide over the next 4 years. We are building the best-in-class platform for vending operations, realised as an event sourced distributed system integrating directly with IoT machines in real-time. Areas you’ll be working on include demand forecasting, replenishment optimisation, recommendation systems, route optimisation, customer vitals analysis and so much more! There are many opportunities and being a greenfield project means there is latitude for you to have a tremendous influence on the direction of the product.
Decent English language skills are a required.
Required Skills
        Excellent analytical skills.
        Strong intuition of Machine Learning and corresponding mathematics.
        Strong coding skills in Python, Python’s popular libraries and scientific stack.
        Experience with modern ML/AI tools/libraries/platforms, data processing in, ETL, feature engineering and MLOps (tuning models in training and production).
        End-to-end experience, from business requirements through to productionising models and pipeline creation.
Desirable Skills
            Masters or PhD in a STEM (science, technology, engineer mathematics) field.
            Experience with SQL
            Practical research experience.
            Software developer experience.
 We operate a hybrid workplace model – working both from home and the office. We have an office located in the Ari area of Bangkok. We also offer car parking.
Come build beautiful software with us."
23,th.jobsdb.com/th/jobs/in-jatuchak/machine-learning-jobs/1?SalaryF=30000&SalaryT=70000&SalaryType=1&createdAt=30d,Data Science Consultant," & SCB TECH X CO., LTD. & Jatuchak",17h ago," & Opportunity to work with Tech-Driven Company & Hybrids Working, 2 days in Office, 3 days WFH & Well-Being and Flexi Benefits","Career LevelMiddleQualificationDegreeYears of Experience4 yearsJob TypeFull Time, PermanentJob FunctionsProfessional Services, Business Analysis / Data Analysis, Information Technology (IT), Data Scientist &&& IndustryInformation Technology","Job Summary
Data Science Consultant will work closely with sale team to establish and manage an effective business development program to maximize organization growth. Working with data scientists and engineers to build data science products and services on top of TechX’s data platform. Leading the team to support clients, ensure project delivery, and optimize project performance in order to grow the client engagement. Work closely with both internal and external stakeholders, taking ownership of the client relationship whereby ensuring expectations are constantly exceeded. To succeed in this role, you will need to be passionate about client liaison, data, building key learnings and problem solving.
Job Responsibilities
Oversee the work of the data science consulting team and responsible for the projects’ success
Provide Subject Matter Expertise for data science products and solutions
Maintain excellent understanding of the data science market, digital marketing, and data product development
Work closely with sales teams to understand clients’ needs, find solutions, and develop business proposals
Actively network in the industry to establish relationships and to identify potential data science opportunities
Analyze potential opportunities and develop data science solution strategies for each customer account.
Ensure appropriate strategy/solution is proposed to customer and monitor actions and results against plans
Provide demonstrations, presentations, training, and consultation for potential clients
Work with the team to solve, analyze, and create a plan to tackle client’s business challenges
Establish strong collaboration with internal and external stakeholders to ensure project delivery
Implement & improve execution effectiveness through appropriate data use and project design
Knowledge, Skills, and Competency
Solid experience in Data Science Consulting, Technical Consulting, or in a client facing role providing data analytics solutions
Experience in being able to translate business needs into executable data science solutions
Excellent verbal, written, and interpersonal communication skills (both Thai and English)
Proven track record in client engagement, relationship building, and project management
Proven ability to quickly and deeply learn new technologies and clearly communicate their value proposition
Experience in managing Proof of Concepts and creating solution demonstrations
Full stack experience in data collection, aggregation, analysis, visualization, productionisation, and monitoring of ML products
Hand-on experience in data engineering, working with big data technology and cloud platforms such as Azure, AWS, GCP
Bachelor's degree in related fields
4 years of working experience in Data Science Consultant"
24,th.jobsdb.com/th/jobs/in-klongtoey/machine-learning-jobs/1?SalaryF=30000&SalaryT=70000&SalaryType=1&createdAt=30d,Data Engineer, & AP (Thailand) Public Company Limited & Klongtoey,1d ago, & Experience in Data Engineer or Big data & Experience in Cloud Platform & Knowledge in SQL or Python,"Career LevelEntry LevelQualificationDegreeYears of Experience3 yearsJob TypePermanentCompany Websitehttps://www.apthai.com/thJob FunctionsEngineering, Others, Information Technology (IT), DBA, Data Scientist &&& IndustryProperty DevelopmentBenefits & OthersLife insurance, Medical insurance, Five-day work week","Responsibilities:
Work with data analyst team to convert functional design to technical design and develop the efficiency SQL and Python script
Prepare data for predictive and prescriptive modeling
Integrate with 3th party API ie. Facebook, Google
Deploy sophisticated analytics programs and statistical methods
Develop automated job scheduling routines
Liaison with team members for any technical issues
Knowledge of data management standards
Improving data quality and efficiency
Analyze and organize raw data
Qualification:
Bachelor or master’s degree in Computer Science, Computer Engineering or others related field
Minimum 3 years of related experience
Proficiency in SQL and Python
Working experience or knowledge in Linux command, or shell scripting
Hands-on experience with PL/SQL and Database design
Experience with cloud-based platforms such as Google Cloud Platform, AWS or similar
Knowledge in DWH, ETL techniques that enable data ingestion, blending and integration
Experience in Digital Data Platform is a plus
Knowledge in data tracking is a plus e.g. Google Analytics, Firebase Analytics
Detail-oriented with good analytical skill
Good command of English both written and spoken
Interested in Data-science will be an advantage 
Interested applicants please click 'Apply Now'
AP (Thailand) Public Company Limited

170/57 Ocean Tower 1, 19th Floor,
Rachadapisek Road, Klongtoey, Bangkok 10110
Tel : 02-261-2518 ต่อ 636 (คุณอภิรักษ์)
www.apthai.com"
