,link,Title,Detials,Price per Night,Rating
25,https://www.airbnb.ca/rooms/37234021?adults=1&check_in=2022-11-02&check_out=2022-11-03&previous_page_section_name=1000&federated_search_id=c2e7d342-fb10-49bb-ba17-182fc1c42125,"1 Double Bed w/Waikiki View, Hotel Renew",2 guests ·  · Studio ·  · 1 bed ·  · 1 private bath,$289 CAD,4.43
26,https://www.airbnb.ca/rooms/39533085?adults=1&check_in=2022-11-02&check_out=2022-11-03&previous_page_section_name=1000&federated_search_id=c2e7d342-fb10-49bb-ba17-182fc1c42125,Platinum Skyline Penthouse - Newly Renovated,2 guests ·  · 1 bedroom ·  · 1 bed ·  · 1 bath,$362 CAD,4.23
27,https://www.airbnb.ca/rooms/53829716?adults=1&check_in=2022-11-02&check_out=2022-11-03&previous_page_section_name=1000&federated_search_id=c2e7d342-fb10-49bb-ba17-182fc1c42125,"2 Double Beds w/Waikiki View, Hotel Renew",4 guests ·  · Studio ·  · 2 beds ·  · 1 private bath,$306 CAD,4.63
28,https://www.airbnb.ca/rooms/34749328?adults=1&check_in=2022-11-02&check_out=2022-11-03&previous_page_section_name=1000&federated_search_id=c2e7d342-fb10-49bb-ba17-182fc1c42125,"Coconut Waikiki Hotel, City View Queen",2 guests ·  · 1 bedroom ·  · 1 bed ·  · 1 private bath,$257 CAD,4.64
29,https://www.airbnb.ca/rooms/51962027?adults=1&check_in=2022-11-02&check_out=2022-11-03&previous_page_section_name=1000&federated_search_id=c2e7d342-fb10-49bb-ba17-182fc1c42125,✨ Standard Room with King Bed at Waikiki beach,2 guests ·  · 1 bedroom ·  · 1 bed ·  · 1 bath,$307 CAD,4.65
30,https://www.airbnb.ca/rooms/32387729?adults=1&check_in=2022-11-02&check_out=2022-11-03&previous_page_section_name=1000&federated_search_id=c2e7d342-fb10-49bb-ba17-182fc1c42125,Loft#1 Spacious Private Room in 3 bedroom loft apt,2 guests ·  · 1 bedroom ·  · 2 beds ·  · 1 shared bath,$222 CAD,4.26
31,https://www.airbnb.ca/rooms/47501677?adults=1&check_in=2022-11-02&check_out=2022-11-03&previous_page_section_name=1000&federated_search_id=c2e7d342-fb10-49bb-ba17-182fc1c42125,OCEAN VIEW Newly Remodeled Waikiki High Rise Unit!,4 guests ·  · Studio ·  · 2 beds ·  · 1 bath,$308 CAD,4.82
32,https://www.airbnb.ca/rooms/634287587466599016?adults=1&check_in=2022-11-02&check_out=2022-11-03&previous_page_section_name=1000&federated_search_id=c2e7d342-fb10-49bb-ba17-182fc1c42125,TearDrop Camper Farm Escape,2 guests ·  · 1 bedroom ·  · 1 bed ·  · 1 bath,$195 CAD,4.61
33,https://www.airbnb.ca/rooms/53203950?adults=1&check_in=2022-11-02&check_out=2022-11-03&previous_page_section_name=1000&federated_search_id=c2e7d342-fb10-49bb-ba17-182fc1c42125,"Waikiki 1BR W/Kitchen, Max 4! Stay W/Family etc.",4 guests ·  · 1 bedroom ·  · 2 beds ·  · 1 bath,$254 CAD,4.0 
34,https://www.airbnb.ca/rooms/690446952437754305?adults=1&check_in=2022-11-02&check_out=2022-11-03&previous_page_section_name=1000&federated_search_id=c2e7d342-fb10-49bb-ba17-182fc1c42125,Delightful One bedroom camper / RV in Honolulu,2 guests ·  · 1 bedroom ·  · 1 bed ·  · 1 bath,$189 CAD,4.86
35,https://www.airbnb.ca/rooms/34749259?adults=1&check_in=2022-11-02&check_out=2022-11-03&previous_page_section_name=1000&federated_search_id=c2e7d342-fb10-49bb-ba17-182fc1c42125,"Coconut Waikiki Hotel, City View Two Doubles",4 guests ·  · 1 bedroom ·  · 2 beds ·  · 1 bath,$241 CAD,4.26
36,https://www.airbnb.ca/rooms/550698815747997704?adults=1&check_in=2022-11-02&check_out=2022-11-03&previous_page_section_name=1000&federated_search_id=c2e7d342-fb10-49bb-ba17-182fc1c42125,#27th Floor Waikiki Studio w/ Great Ocean View,2 guests ·  · Studio ·  · 1 bed ·  · 1 bath,$346 CAD,4.65
37,https://www.airbnb.ca/rooms/36336712?adults=1&check_in=2022-11-02&check_out=2022-11-03&previous_page_section_name=1000&federated_search_id=c2e7d342-fb10-49bb-ba17-182fc1c42125,"Hotel LaCroix, Silver King",2 guests ·  · 1 bedroom ·  · 1 bed ·  · 1 bath,$281 CAD,4.36
38,https://www.airbnb.ca/rooms/48666313?adults=1&check_in=2022-11-02&check_out=2022-11-03&previous_page_section_name=1000&federated_search_id=c2e7d342-fb10-49bb-ba17-182fc1c42125,29th floor ocean view Waikiki Hawaiian Monarch,2 guests ·  · Studio ·  · 1 bed ·  · 1 bath,$291 CAD,4.84
39,https://www.airbnb.ca/rooms/40064993?adults=1&check_in=2022-11-02&check_out=2022-11-03&previous_page_section_name=1000&federated_search_id=c2e7d342-fb10-49bb-ba17-182fc1c42125,Mountain View Studio with Full Kitchen(Legal),2 guests ·  · Studio ·  · 1 bed ·  · 1 bath,$335 CAD,4.64
40,https://www.airbnb.ca/rooms/50447160?adults=1&check_in=2022-11-02&check_out=2022-11-03&previous_page_section_name=1000&federated_search_id=c2e7d342-fb10-49bb-ba17-182fc1c42125,Partial Ocean View♪ 1 Block from Waikiki Beach,3 guests ·  · Studio ·  · 1 bed ·  · 1 bath,$353 CAD,4.95
41,https://www.airbnb.ca/rooms/27589791?adults=1&check_in=2022-11-02&check_out=2022-11-03&previous_page_section_name=1000&federated_search_id=e406fff7-7c3d-4a02-9474-84200b95bdb2,Hale in Paradise Rainbow view,2 guests ·  · Studio ·  · 1 bed ·  · 1 bath,$313 CAD,4.61
42,https://www.airbnb.ca/rooms/643662215063140676?adults=1&check_in=2022-11-02&check_out=2022-11-03&previous_page_section_name=1000&federated_search_id=e406fff7-7c3d-4a02-9474-84200b95bdb2,"Stylish, Newly Renovated Condo Near Waikiki Beach!",3 guests ·  · 1 bedroom ·  · 2 beds ·  · 1 bath,$531 CAD,4.77
43,https://www.airbnb.ca/rooms/43237567?adults=1&check_in=2022-11-02&check_out=2022-11-03&previous_page_section_name=1000&federated_search_id=e406fff7-7c3d-4a02-9474-84200b95bdb2,Waikiki Partial Ocean Suite Kitchen 1 Queen Bed,2 guests ·  · 1 bedroom ·  · 2 beds ·  · 1 private bath,$289 CAD,4.62
44,https://www.airbnb.ca/rooms/53974201?adults=1&check_in=2022-11-02&check_out=2022-11-03&previous_page_section_name=1000&federated_search_id=e406fff7-7c3d-4a02-9474-84200b95bdb2,West Waikiki bedroom w/ bathroom 【A】,1 guest ·  · 1 bedroom ·  · 1 bed ·  · 1 private bath,$291 CAD,4.75
45,https://www.airbnb.ca/rooms/11555756?adults=1&check_in=2022-11-02&check_out=2022-11-03&previous_page_section_name=1000&federated_search_id=e406fff7-7c3d-4a02-9474-84200b95bdb2,"spacious,newly renovated,in waikiki",2 guests ·  · 1 bedroom ·  · 1 bed ·  · 1 bath,$281 CAD,4.55
46,https://www.airbnb.ca/rooms/47337776?adults=1&check_in=2022-11-02&check_out=2022-11-03&previous_page_section_name=1000&federated_search_id=e406fff7-7c3d-4a02-9474-84200b95bdb2,"WAIKIKI - 5min walk to beach w/pool, free parking",2 guests ·  · Studio ·  · 1 bed ·  · 1 bath,$398 CAD,4.91
47,https://www.airbnb.ca/rooms/700073867643945150?adults=1&check_in=2022-11-02&check_out=2022-11-03&previous_page_section_name=1000&federated_search_id=e406fff7-7c3d-4a02-9474-84200b95bdb2,Lovely Waikiki Studio with Park and Ocean View,2 guests ·  · Studio ·  · 1 bed ·  · 1 bath,$337 CAD,4.75
48,https://www.airbnb.ca/rooms/621458274810969087?adults=1&check_in=2022-11-02&check_out=2022-11-03&previous_page_section_name=1000&federated_search_id=e406fff7-7c3d-4a02-9474-84200b95bdb2,*23rd FLR!Skyline King Studio w/ Ocean Views!,3 guests ·  · Studio ·  · 2 beds ·  · 1 bath,$446 CAD,5.0 
49,https://www.airbnb.ca/rooms/50751528?adults=1&check_in=2022-11-02&check_out=2022-11-03&previous_page_section_name=1000&federated_search_id=e406fff7-7c3d-4a02-9474-84200b95bdb2,2bed/2Bath Ocean View with parking. Waikiki,5 guests ·  · 2 bedrooms ·  · 2 beds ·  · 2 baths,$575 CAD,New
50,https://www.airbnb.ca/rooms/54265596?adults=1&check_in=2022-11-02&check_out=2022-11-03&previous_page_section_name=1000&federated_search_id=e406fff7-7c3d-4a02-9474-84200b95bdb2,Deluxe 2 Double Beds at The Equus,4 guests ·  · 1 bedroom ·  · 2 beds ·  · 1 private bath,$218 CAD,4.84
51,https://www.airbnb.ca/rooms/679122182963357395?adults=1&check_in=2022-11-02&check_out=2022-11-03&previous_page_section_name=1000&federated_search_id=e406fff7-7c3d-4a02-9474-84200b95bdb2,Calm and Cozy Studio in the Center of Waikiki!!,3 guests ·  · Studio ·  · 2 beds ·  · 1 bath,$507 CAD,4.86
52,https://www.airbnb.ca/rooms/48493621?adults=1&check_in=2022-11-02&check_out=2022-11-03&previous_page_section_name=1000&federated_search_id=e406fff7-7c3d-4a02-9474-84200b95bdb2,Ocean Retreats - #31st High Floor Studio,2 guests ·  · Studio ·  · 1 bed ·  · 1 bath,$361 CAD,4.64
53,https://www.airbnb.ca/rooms/26014922?adults=1&check_in=2022-11-02&check_out=2022-11-03&previous_page_section_name=1000&federated_search_id=e406fff7-7c3d-4a02-9474-84200b95bdb2,Elegant Waikiki Condo w/ Beautiful View and Pool,3 guests ·  · Studio ·  · 2 beds ·  · 1 bath,$376 CAD,4.87
54,https://www.airbnb.ca/rooms/50447160?adults=1&check_in=2022-11-02&check_out=2022-11-03&previous_page_section_name=1000&federated_search_id=e406fff7-7c3d-4a02-9474-84200b95bdb2,Partial Ocean View♪ 1 Block from Waikiki Beach,3 guests ·  · Studio ·  · 1 bed ·  · 1 bath,$353 CAD,4.95
55,https://www.airbnb.ca/rooms/17929539?adults=1&check_in=2022-11-02&check_out=2022-11-03&previous_page_section_name=1000&federated_search_id=e406fff7-7c3d-4a02-9474-84200b95bdb2,Excellent and Cozy Home in Waikiki,2 guests ·  · 1 bedroom ·  · 1 bed ·  · 1 bath,$318 CAD,4.59
56,https://www.airbnb.ca/rooms/595872659910570449?adults=1&check_in=2022-11-02&check_out=2022-11-03&previous_page_section_name=1000&federated_search_id=e406fff7-7c3d-4a02-9474-84200b95bdb2,Newly renovated King Studio Suite,3 guests ·  · Studio ·  · 1 bed ·  · 1 private bath,$297 CAD,4.66
57,https://www.airbnb.ca/rooms/53203950?adults=1&check_in=2022-11-02&check_out=2022-11-03&previous_page_section_name=1000&federated_search_id=e406fff7-7c3d-4a02-9474-84200b95bdb2,"Waikiki 1BR W/Kitchen, Max 4! Stay W/Family etc.",4 guests ·  · 1 bedroom ·  · 2 beds ·  · 1 bath,$254 CAD,4.0 
58,https://www.airbnb.ca/rooms/14452537?adults=1&check_in=2022-11-02&check_out=2022-11-03&previous_page_section_name=1000&federated_search_id=e406fff7-7c3d-4a02-9474-84200b95bdb2,Corner unit with a Full Kitchen!,3 guests ·  · Studio ·  · 1 bed ·  · 1 bath,$296 CAD,4.65
59,https://www.airbnb.ca/rooms/28233244?adults=1&check_in=2022-11-02&check_out=2022-11-03&previous_page_section_name=1000&federated_search_id=e406fff7-7c3d-4a02-9474-84200b95bdb2,"Elegant, Spacious Downtown Hideaway w/Parking",4 guests ·  · 1 bedroom ·  · 2 beds ·  · 1 bath,$375 CAD,4.88
60,https://www.airbnb.ca/rooms/51771202?adults=1&check_in=2022-11-02&check_out=2022-11-03&previous_page_section_name=1000&federated_search_id=e406fff7-7c3d-4a02-9474-84200b95bdb2,"NEWLY RENOVATED! - Breezy Studio, Heart of Waikiki",3 guests ·  · 1 bedroom ·  · 2 beds ·  · 1 bath,$359 CAD,4.96
61,https://www.airbnb.ca/rooms/49468022?adults=1&check_in=2022-11-02&check_out=2022-11-03&previous_page_section_name=1000&federated_search_id=d9ef7e5f-5c74-44dd-a33c-8d5bb10fdf3d,"Waikiki, High-rise  Ocean view &1  free parking",4 guests ·  · Studio ·  · 2 beds ·  · 1 private bath,$487 CAD,4.8 
62,https://www.airbnb.ca/rooms/595872659910570449?adults=1&check_in=2022-11-02&check_out=2022-11-03&previous_page_section_name=1000&federated_search_id=d9ef7e5f-5c74-44dd-a33c-8d5bb10fdf3d,Newly renovated King Studio Suite,3 guests ·  · Studio ·  · 1 bed ·  · 1 private bath,$297 CAD,4.66
63,https://www.airbnb.ca/rooms/47838034?adults=1&check_in=2022-11-02&check_out=2022-11-03&previous_page_section_name=1000&federated_search_id=d9ef7e5f-5c74-44dd-a33c-8d5bb10fdf3d,Lovely KingBed Studio WaikikiFREE assignedParking,2 guests ·  · Studio ·  · 1 bed ·  · 1 bath,$385 CAD,4.9 
64,https://www.airbnb.ca/rooms/43237129?adults=1&check_in=2022-11-02&check_out=2022-11-03&previous_page_section_name=1000&federated_search_id=d9ef7e5f-5c74-44dd-a33c-8d5bb10fdf3d,Waikiki Studio Kitchenette with 1 Queen Bed,2 guests ·  · 1 bedroom ·  · 2 beds ·  · 1 private bath,$209 CAD,3.56
65,https://www.airbnb.ca/rooms/13128168?adults=1&check_in=2022-11-02&check_out=2022-11-03&previous_page_section_name=1000&federated_search_id=d9ef7e5f-5c74-44dd-a33c-8d5bb10fdf3d,"Economy Room with an AC at North Shore, Haleiwa",2 guests ·  · 1 bedroom ·  · 1 bed ·  · 1 shared bath,$272 CAD,4.68
66,https://www.airbnb.ca/rooms/679122182963357395?adults=1&check_in=2022-11-02&check_out=2022-11-03&previous_page_section_name=1000&federated_search_id=d9ef7e5f-5c74-44dd-a33c-8d5bb10fdf3d,Calm and Cozy Studio in the Center of Waikiki!!,3 guests ·  · Studio ·  · 2 beds ·  · 1 bath,$507 CAD,4.86
67,https://www.airbnb.ca/rooms/510340660363628122?adults=1&check_in=2022-11-02&check_out=2022-11-03&previous_page_section_name=1000&federated_search_id=d9ef7e5f-5c74-44dd-a33c-8d5bb10fdf3d,Beautifully Modern and Clean Marine Surf Waikiki !,3 guests ·  · Studio ·  · 1 bath,$432 CAD,4.75
68,https://www.airbnb.ca/rooms/14452537?adults=1&check_in=2022-11-02&check_out=2022-11-03&previous_page_section_name=1000&federated_search_id=d9ef7e5f-5c74-44dd-a33c-8d5bb10fdf3d,Corner unit with a Full Kitchen!,3 guests ·  · Studio ·  · 1 bed ·  · 1 bath,$296 CAD,4.65
69,https://www.airbnb.ca/rooms/26014922?adults=1&check_in=2022-11-02&check_out=2022-11-03&previous_page_section_name=1000&federated_search_id=d9ef7e5f-5c74-44dd-a33c-8d5bb10fdf3d,Elegant Waikiki Condo w/ Beautiful View and Pool,3 guests ·  · Studio ·  · 2 beds ·  · 1 bath,$376 CAD,4.87
70,https://www.airbnb.ca/rooms/18510539?adults=1&check_in=2022-11-02&check_out=2022-11-03&previous_page_section_name=1000&federated_search_id=d9ef7e5f-5c74-44dd-a33c-8d5bb10fdf3d,Oceanview Studio Waikiki Free Park Double Balcony,2 guests ·  · Studio ·  · 1 bed ·  · 1 bath,$433 CAD,4.87
71,https://www.airbnb.ca/rooms/39533085?adults=1&check_in=2022-11-02&check_out=2022-11-03&previous_page_section_name=1000&federated_search_id=d9ef7e5f-5c74-44dd-a33c-8d5bb10fdf3d,Platinum Skyline Penthouse - Newly Renovated,2 guests ·  · 1 bedroom ·  · 1 bed ·  · 1 bath,$362 CAD,4.23
72,https://www.airbnb.ca/rooms/703111793975318877?adults=1&check_in=2022-11-02&check_out=2022-11-03&previous_page_section_name=1000&federated_search_id=d9ef7e5f-5c74-44dd-a33c-8d5bb10fdf3d,Lovely Studio with Park Views @ The Palms Waikiki,2 guests ·  · Studio ·  · 1 bed ·  · 1 bath,$449 CAD,5.0 
73,https://www.airbnb.ca/rooms/34749285?adults=1&check_in=2022-11-02&check_out=2022-11-03&previous_page_section_name=1000&federated_search_id=d9ef7e5f-5c74-44dd-a33c-8d5bb10fdf3d,"Coconut Waikiki Hotel, City View King",2 guests ·  · 1 bedroom ·  · 1 bed ·  · 1 bath,$274 CAD,4.64
74,https://www.airbnb.ca/rooms/640912332303803070?adults=1&check_in=2022-11-02&check_out=2022-11-03&previous_page_section_name=1000&federated_search_id=d9ef7e5f-5c74-44dd-a33c-8d5bb10fdf3d,Central Waikiki 400sf condo close to everything,4 guests ·  · Studio ·  · 2 beds ·  · 1 bath,$450 CAD,4.74
75,https://www.airbnb.ca/rooms/631429920219322615?adults=1&check_in=2022-11-02&check_out=2022-11-03&previous_page_section_name=1000&federated_search_id=d9ef7e5f-5c74-44dd-a33c-8d5bb10fdf3d,In the Heart Of Waikiki🏝Newly Renovated Studio!!,2 guests ·  · Studio ·  · 2 beds ·  · 1 bath,$398 CAD,4.64
76,https://www.airbnb.ca/rooms/49772787?adults=1&check_in=2022-11-02&check_out=2022-11-03&previous_page_section_name=1000&federated_search_id=d9ef7e5f-5c74-44dd-a33c-8d5bb10fdf3d,Hale Ita - our tiny home right near the beach!,2 guests ·  · 1 bedroom ·  · 1 bed ·  · 1 bath,$391 CAD,4.93
77,https://www.airbnb.ca/rooms/34004089?adults=1&check_in=2022-11-02&check_out=2022-11-03&previous_page_section_name=1000&federated_search_id=d9ef7e5f-5c74-44dd-a33c-8d5bb10fdf3d,**5 min to Waikiki Beach**King Size Bed**,2 guests ·  · Studio ·  · 1 bed ·  · 1 bath,$362 CAD,4.88
78,https://www.airbnb.ca/rooms/743233390251950049?adults=1&check_in=2022-11-02&check_out=2022-11-03&previous_page_section_name=1000&federated_search_id=d9ef7e5f-5c74-44dd-a33c-8d5bb10fdf3d,Close to the beach Villa with free parking 3,4 guests ·  · 1 bedroom ·  · 2 beds ·  · 1 private bath,$404 CAD,New
79,https://www.airbnb.ca/rooms/50520812?adults=1&check_in=2022-11-02&check_out=2022-11-03&previous_page_section_name=1000&federated_search_id=d9ef7e5f-5c74-44dd-a33c-8d5bb10fdf3d,Partial Ocean View♪ 1 Block from Waikiki Beach,3 guests ·  · Studio ·  · 1 bed ·  · 1 bath,$335 CAD,4.7 
80,https://www.airbnb.ca/rooms/42611967?adults=1&check_in=2022-11-02&check_out=2022-11-03&previous_page_section_name=1000&federated_search_id=d9ef7e5f-5c74-44dd-a33c-8d5bb10fdf3d,Rare Waikiki 31st High Floor Corner Studio,2 guests ·  · Studio ·  · 1 bed ·  · 1 bath,$370 CAD,4.53
81,https://www.airbnb.ca/rooms/595872659910570449?adults=1&check_in=2022-11-02&check_out=2022-11-03&previous_page_section_name=1000&federated_search_id=f414db89-254d-44b6-a1c9-4665e227a0b4,Newly renovated King Studio Suite,3 guests ·  · Studio ·  · 1 bed ·  · 1 private bath,$297 CAD,4.66
82,https://www.airbnb.ca/rooms/726095078457357328?adults=1&check_in=2022-11-02&check_out=2022-11-03&previous_page_section_name=1000&federated_search_id=f414db89-254d-44b6-a1c9-4665e227a0b4,New Listing!  HighRise Ocean View W/Parking & Pool,5 guests ·  · 1 bedroom ·  · 3 beds ·  · 1 bath,$603 CAD,New
83,https://www.airbnb.ca/rooms/53265474?adults=1&check_in=2022-11-02&check_out=2022-11-03&previous_page_section_name=1000&federated_search_id=f414db89-254d-44b6-a1c9-4665e227a0b4,Nalu Malu 1 Bedroom @Waikiki Banyan 1 Free Parking,4 guests ·  · 1 bedroom ·  · 2 beds ·  · 1 bath,$542 CAD,4.94
84,https://www.airbnb.ca/rooms/598699132895948627?adults=1&check_in=2022-11-02&check_out=2022-11-03&previous_page_section_name=1000&federated_search_id=f414db89-254d-44b6-a1c9-4665e227a0b4,"Partial Ocean View, Full Bed with Balcony",2 guests ·  · 1 bedroom ·  · 1 bed ·  · 1 private bath,$322 CAD,New
85,https://www.airbnb.ca/rooms/43237813?adults=1&check_in=2022-11-02&check_out=2022-11-03&previous_page_section_name=1000&federated_search_id=f414db89-254d-44b6-a1c9-4665e227a0b4,Waikiki Ocean View Suite Kitchen with 1 Queen Bed,2 guests ·  · 1 bedroom ·  · 2 beds ·  · 1 private bath,$306 CAD,4.5 
